talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
64.5,2513,0,1317,0,3466,1187,4135,0,231,0,615,0,1757,1442,1290,1819,1487,1324,1390,909,3090,3984,1595,1098,175,331,283,133,0,293,201,304
65.5,2220,0,1273,402,1052,382,2477,0,0,0,0,0,1525,1384,2089,989,2084,1874,549,1290,1839,2058,2436,1609,328,676,796,94,214,263,239,174
66.5,2852,0,696,114,734,382,1964,0,0,0,1187,0,2302,1821,2285,1566,575,1398,1064,712,1593,1204,1340,622,755,6,39,86,650,288,694,486
67.5,2175,3532,1241,403,1103,843,864,0,0,0,615,0,2575,725,2028,2075,1243,1631,1592,1085,603,1475,1360,582,279,0,77,19,0,153,130,129
68.5,1707,11103,1817,119,2313,1963,6371,0,231,0,308,0,1879,694,1189,1974,865,1425,2151,1790,2356,1321,1958,1234,183,700,157,83,667,198,10,125
69.5,994,3532,960,403,1579,1159,419,0,231,330,0,0,1853,504,559,1451,669,1254,1901,810,584,739,1396,666,1461,9,30,0,0,123,59,293
70.5,1288,3532,180,0,2154,1159,1366,0,0,0,308,0,2522,169,350,227,444,1713,694,853,1389,1350,1177,1213,446,18,330,89,675,337,199,223
71.5,1308,3532,95,0,1996,737,702,0,0,0,0,0,2309,325,527,959,900,842,576,909,1231,623,1235,1520,107,17,0,6,0,183,59,157
72.5,907,0,237,434,734,355,552,0,0,0,625,0,2282,45,541,1254,476,1423,766,378,662,381,1135,1072,307,9,0,6,0,265,38,0
73.5,0,3532,357,434,2940,422,1068,0,231,0,308,0,1111,288,325,723,393,570,2224,356,304,548,1370,401,1152,331,28,47,0,70,0,156
74.5,1226,3532,179,119,1996,382,1976,0,231,0,145,0,542,161,255,938,710,1107,942,349,367,628,220,727,44,3,11,25,0,19,0,67
75.5,2688,3532,0,227,1262,737,1533,0,462,0,318,0,516,94,209,876,870,258,617,255,288,1125,229,399,21,8,233,47,0,6,10,0
76.5,1200,3532,0,237,0,0,178,0,0,0,308,0,696,105,62,213,512,888,818,335,195,41,112,179,9,9,11,31,0,3,0,0
77.5,907,0,0,114,1103,382,117,0,0,0,0,0,579,141,36,597,47,339,0,93,110,0,63,402,54,0,11,25,0,0,0,0
78.5,825,0,0,237,159,709,777,0,484,0,933,0,48,0,0,487,176,231,448,248,0,233,8,204,44,6,11,47,0,0,0,27
79.5,425,0,0,237,0,355,468,0,231,0,308,0,48,0,172,51,55,1116,53,0,72,48,284,0,2,6,11,0,0,0,0,0
80.5,400,3532,0,170,317,0,117,0,0,0,0,0,0,0,0,0,81,129,0,0,29,0,0,0,61,9,0,0,0,0,0,0
81.5,425,0,0,0,0,422,117,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
82.5,425,0,0,0,0,422,0,0,0,0,0,0,0,0,41,0,87,0,0,117,189,19,31,0,0,0,0,0,0,0,0,0
83.5,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,107,0,13,0,0,0,0,0,0,0,0,0,0,0,0
84.5,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.5,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
