MeanLength,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
70.5,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06
71.5,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4,304.4
72.5,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,318.16,0,318.16,318.16,318.16,318.16
73.5,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33,332.33
74.5,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,346.93,0,346.93,346.93,346.93,346.93
75.5,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,361.96,0,361.96
76.5,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,377.43,0,377.43,377.43,377.43,377.43,377.43,377.43,377.43
77.5,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,393.35,0,0,393.35,393.35,393.35,0
78.5,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72,409.72
79.5,426.55,426.55,426.55,426.55,426.55,426.55,426.55,426.55,426.55,426.55,426.55,426.55,426.55,426.55,0,0,426.55,426.55,426.55,426.55,426.55,426.55,426.55,0,0,426.55,426.55,426.55,426.55,426.55
80.5,443.85,443.85,443.85,443.85,443.85,443.85,443.85,443.85,443.85,443.85,443.85,443.85,443.85,443.85,0,0,443.85,443.85,443.85,443.85,443.85,443.85,443.85,0,443.85,443.85,443.85,443.85,443.85,443.85
81.5,461.62,461.62,461.62,461.62,461.62,461.62,461.62,461.62,461.62,461.62,461.62,461.62,461.62,461.62,0,461.62,461.62,461.62,461.62,461.62,461.62,461.62,0,0,461.62,0,461.62,461.62,0,461.62
82.5,479.87,479.87,479.87,479.87,479.87,479.87,479.87,479.87,479.87,479.87,479.87,479.87,479.87,0,479.87,479.87,479.87,479.87,479.87,479.87,479.87,479.87,479.87,0,0,0,479.87,479.87,479.87,479.87
83.5,498.6,498.6,498.6,498.6,498.6,498.6,498.6,498.6,498.6,498.6,498.6,498.6,498.6,498.6,0,498.6,498.6,498.6,498.6,498.6,498.6,498.6,498.6,0,0,498.6,498.6,0,498.6,0
84.5,517.83,517.83,517.83,517.83,517.83,517.83,517.83,0,517.83,517.83,517.83,517.83,517.83,517.83,0,0,517.83,517.83,517.83,517.83,517.83,517.83,0,0,0,0,517.83,0,0,517.83
85.5,537.57,537.57,537.57,537.57,537.57,537.57,537.57,537.57,537.57,0,537.57,537.57,537.57,0,0,0,537.57,537.57,537.57,537.57,537.57,537.57,0,0,0,537.57,0,0,0,0
86.5,557.81,557.81,557.81,0,0,557.81,557.81,557.81,0,557.81,0,557.81,557.81,0,0,0,557.81,557.81,557.81,557.81,0,557.81,0,0,0,557.81,557.81,0,557.81,557.81
87.5,0,578.56,578.56,578.56,0,578.56,0,578.56,0,0,0,578.56,0,0,0,578.56,578.56,578.56,578.56,578.56,578.56,578.56,0,0,0,0,578.56,0,0,0
88.5,599.84,599.84,599.84,599.84,0,599.84,599.84,0,0,599.84,0,599.84,0,599.84,0,0,599.84,599.84,599.84,599.84,599.84,0,0,0,0,0,599.84,0,0,0
89.5,0,621.64,0,0,0,621.64,0,0,0,621.64,0,621.64,621.64,0,0,0,621.64,621.64,621.64,621.64,621.64,0,0,0,0,0,0,621.64,0,0
90.5,0,0,0,0,0,0,0,0,643.98,643.98,0,0,0,0,0,0,643.98,643.98,643.98,643.98,643.98,643.98,0,0,643.98,0,643.98,0,0,0
91.5,0,0,0,0,0,0,0,0,0,0,0,666.87,0,0,0,0,666.87,666.87,666.87,666.87,666.87,0,0,0,0,0,0,0,0,0
92.5,0,0,0,0,0,0,0,0,0,0,0,690.3,0,0,0,0,690.3,690.3,690.3,0,690.3,690.3,0,0,0,0,0,0,0,0
93.5,714.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714.29,714.29,714.29,714.29,714.29,0,0,0,0,0,0,0,0,0
94.5,0,0,0,0,0,0,738.84,0,0,0,0,0,0,0,0,0,0,0,0,738.84,0,0,0,0,0,0,0,0,0,0
95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763.97,763.97,763.97,763.97,0,0,0,0,0,0,0,0,0,0
96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789.67,789.67,789.67,0,0,0,0,0,0,0,0,0
97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815.96,815.96,0,0,0,0,0,0,0,0,0
98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842.84,842.84,842.84,0,0,0,0,0,0,0,0,0,0
99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870.31,0,870.31,0,0,0,0,0,0,0,0,0,0,0
100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.16,0,0,0
