talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32.5,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907
33.5,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997
34.5,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085
35.5,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188
36.5,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712
37.5,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625
38.5,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321
39.5,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094
40.5,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778
41.5,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688,55.78281688
