MeanLength,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
35,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484,33.61836484
36,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493,36.70054493
37,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824,39.97041824
38,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056,43.43395056
39,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282,47.09713282
40,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053,50.96598053
41,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329,55.04653329
42,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426,59.34485426
43,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966,63.86702966
44,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836,68.61916836
