talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,
81,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,470.6808176,,,
82,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,489.1735124,,,
83,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,508.1567726,,,
84,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,527.6375023,,,
85,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,547.6226192,,,
86,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,568.1190539,,,
87,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,589.13375,,,
88,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,610.673664,,,
89,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,632.7457651,,,
90,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,655.3570351,,,
91,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684,678.5144684
92,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716,702.2250716
93,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636,726.4958636
94,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757,751.3338757
95,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508,776.7461508
96,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442,802.7397442
97,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228,829.3217228
98,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651,856.4991651
99,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615,884.2791615
100,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137,912.6688137
