talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,
31,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,,,
32,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,25.7643907,,,
33,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,28.35371997,,,
34,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,31.11550085,,,
35,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,34.0557188,,,
36,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,37.18038712,,,
37,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,40.49554625,,,
38,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,44.00726321,,,
39,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,47.72163094,,,
40,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,51.64476778,,,
